fmol/mgCDW	Yu2021_N30_005R1	Yu2021_N30_005R2	Yu2021_N30_005R3	Yu2021_std_010R1	Yu2021_std_010R2	Yu2021_std_010R3	Yu2021_N30_010R1	Yu2021_N30_010R2	Yu2021_N30_010R3	Yu2021_N30_013R1	Yu2021_N30_013R2	Yu2021_N30_013R3	Yu2021_N30_018R1	Yu2021_N30_018R2	Yu2021_N30_018R3	Yu2021_N30_030R1	Yu2021_N30_030R2	Yu2021_N30_030R3	Yu2021_N30_035R1	Yu2021_N30_035R2	Yu2021_N30_035R3	Yu2021_Gln_glc1R1	Yu2021_Gln_glc1R2	Yu2021_Gln_glc1R3	Yu2021_Gln_glc2R1	Yu2021_Gln_glc2R2	Yu2021_Gln_glc2R3	Yu2021_Gln_N30R1	Yu2021_Gln_N30R2	Yu2021_Gln_N30R3	Yu2021_Phe_stdR1	Yu2021_Phe_stdR2	Yu2021_Phe_stdR3	Yu2021_Phe_N30R1	Yu2021_Phe_N30R2	Yu2021_Phe_N30R3	Yu2021_Ile_stdR1	Yu2021_Ile_stdR2	Yu2021_Ile_stdR3	Yu2021_Ile_N30R1	Yu2021_Ile_N30R2	Yu2021_Ile_N30R3
YER029C	94.84987233	102.2626463	78.42791937	84.33184243	59.86460188	62.40933126	62.66138499	62.26753876	111.2627031	95.90092185	90.48940538	85.72002091	76.63935067	86.18535821	91.6492286	98.17594816	113.4972739	103.1763652	116.2934852	107.9785836	125.808068	88.84143939	73.16236008	68.10403604	120.6446082	67.75619808	79.75868682	63.02131966	102.9473157	100.8977695	98.57356214	113.3162157	110.4934541	113.7721333	109.8083879	100.381962	74.56065235	87.1478616	75.13714304	111.4144112	95.66354327	129.5628617
YER030W	81.80033586	69.81158568	70.26776981	66.32942722	52.29876258	44.4336922	49.67360145	55.59398168	51.8109379	81.10084032	90.16043994	93.42962591	85.15302881	79.61123309	89.89530057	134.9267584	118.4900128	90.94144008	136.9216359	98.46905534	201.0718913	30.90837463	33.33047584	92.52967363	92.98105149	64.08645526	60.05168934	83.59102866	123.1706057	105.8867759	88.13244357	101.5614377	90.99851321	120.3851394	103.7122916	91.71262756	61.36467033	63.22094714	81.1068479	97.6914827	111.1098634	68.31436871
YER036C	302.6231674	252.3138602	312.3714823	328.6865559	314.0900818	253.4971451	247.193908	231.3148844	469.2268582	341.681814	321.454494	284.5556191	263.1430455	303.8493883	279.6972178	455.1590029	477.0395332	447.5133428	626.8360031	628.2185086	603.003628	625.9987279	572.2222849	461.7769689	408.540567	313.6217304	428.2825986	296.9399332	517.049849	404.570024	280.7134883	353.2334169	313.5311333	517.276738	531.8539107	472.6679968	301.5107849	323.6701995	352.0099535	823.2764429	617.1437851	669.8968679
YER042W	951.3700004	749.7687395	583.2524973	401.7300364	443.5480355	445.6931007	537.6526531	561.1652002	1127.01073	1168.488847	1050.763862	945.9236499	878.727338	921.4345783	874.481359	1160.306998	1316.310467	1187.076678	1338.853981	1447.325674	1488.183368	226.9847098	551.3096043	702.0679831	738.8924657	681.0342217	889.8757233	951.5096508	1335.486675	1169.875079	707.6858174	670.9629901	702.6532815	1119.576421	1177.003391	1115.943466	597.2811644	602.0354274	907.792	2268.405416	1622.094764	1961.167115
YER044C	429.5920989	343.760688	324.8421358	829.3764995	757.5324603	780.7004181	359.4779257	375.1930996	229.5366718	450.2721314	366.9520137	432.9817278	500.9117507	397.2298082	438.063421	595.0406036	753.2026425	593.9066033	660.9338722	576.8018011	689.1524316	1396.972247	1769.075368	1912.860353	1316.030779	689.0464333	760.2190091	317.3137517	582.9480412	626.1451859	630.2681345	799.5158799	671.9629001	710.85703	638.70303	747.6316117	719.5785179	966.1677979	921.2675919	703.9155764	945.6210965	663.9630468
YER049W	22.98974599	23.19207229	20.69020002	29.88241032	30.43309365	26.37501015	17.05261242	17.874709	15.41504213	24.6381598	22.19923849	21.38516093	25.93230784	25.04342923	25.90367303	34.23508764	39.24597461	39.88412055	47.94731295	43.46184826	51.7833703	32.4433702	31.27590337	36.23546211	39.89321091	25.29675909	31.53361618	14.16543709	24.34742937	28.43577091	32.16634035	36.48087037	32.51388572	30.76365947	27.58708485	29.3967883	29.09281183	38.14071209	30.34189743	27.62234261	31.0163725	32.23182364
YER051W	0	1.13492949	0.894496681	0	1.239053085	1.059617297	0	1.085642582	0	0	0.888680221	0.864608729	0	1.078539036	1.255891901	1.447363436	1.646995414	0	1.674745952	0	1.593204791	0	1.591141128	1.045105627	1.26013915	0	0.930477599	0	1.232164285	1.635142134	1.41886363	1.957075544	0	0	1.522258761	0	0	1.360214804	0.993911244	1.71340747	0	1.768399954
YER053C	125.5032037	115.2150808	106.6437479	116.8870361	136.6950072	132.8434946	125.0305236	131.7805268	96.64130595	209.6349238	179.4518635	207.8622594	188.0087778	162.1062022	211.1439866	128.0427914	130.4402141	87.52925185	100.8816208	76.85251062	100.9094897	91.06016162	282.7097955	309.8425118	265.3724698	124.8707851	137.6730368	156.8226795	312.2361042	326.7477111	528.9907506	602.7282303	680.9194523	316.3989824	286.7185676	294.9075659	137.1282598	198.2644571	124.414101	201.0653932	272.3045162	172.5225211
YER057C	14893.56753	14178.56417	15077.93825	22525.41837	21896.56536	15957.4397	8730.201005	12501.10501	8604.608925	11327.38891	10690.23331	10111.28504	9118.904294	8811.548359	10988.69746	12565.27589	12116.24055	12954.69338	12764.48513	15283.80294	15588.27227	48063.22478	54231.34074	52454.44712	49980.78003	14643.82967	20171.04057	7404.824523	18819.1494	22226.95424	22955.58099	34976.35082	22993.52285	27995.63608	22686.82753	24531.48091	19115.73876	31719.4029	13965.42905	19422.59476	24019.89949	21760.51028
YER059W	5.75978739	5.502570383	4.761705292	9.366120584	10.4232713	9.174107297	4.695109924	5.190519105	2.702492705	5.275036178	5.195126807	6.040933938	6.571626473	5.376125724	6.475025825	8.580773723	7.965784744	7.742730962	8.376334444	7.929972963	9.609338974	11.43220655	14.43583798	14.88861527	13.73589068	5.634530714	6.913699974	3.771192385	7.441422507	8.675091713	12.32201177	13.53706343	14.01252288	9.447684651	7.919741609	8.830710044	6.46667594	11.00503894	6.060620637	4.894896046	7.317141688	5.468381704
