rxn,Nsubs,OnlySubResults,nOtherMets,nOneComb,OneMetResults,nTwoComb,TwoMetResults,nThreeComb,ThreeMetResults
r_4330_b,3,-0.19050600168072868,2739,57,"(('s_0557[c]',), 0.6282178337689295)",1596,"(('s_0362[c]', 's_3119[erm]'), 0.7106025111511909)",29260,"(('s_0362[c]', 's_3119[erm]', 's_0557[c]'), 0.8129959082058719)"
r_0015,3,0.05899617958876622,2739,83,"(('s_1032[c]',), 0.4227087585920398)",3403,"(('s_0551[c]', 's_0581[c]'), 0.6507817092210539)",91881,"(('s_0951[c]', 's_0993[m]', 's_1210[m]'), 0.7982969002534694)"
r_0489,2,-1.1395841838190333,2740,77,"(('s_0188[c]',), -1.1454128475369993)",2926,"(('s_1198[c]', 's_1324[e]'), 0.22034824554439644)",73150,"(('s_3129[mm]', 's_1198[c]', 's_1324[e]'), 0.2790467429332367)"
r_0663_f,2,-61.903897650443284,2740,90,"(('s_0359[c]',), -5.9757376231286825)",4005,"(('s_0445[c]', 's_0068[m]'), 0.44719107615170983)",117480,"(('s_0373[c]', 's_0725[c]', 's_0233[m]'), 0.3386003430468503)"
r_2305_f,2,0.1725269526969072,2740,58,"(('s_1324[e]',), 0.4128592381161038)",1653,"(('s_1324[e]', 's_0993[m]'), 0.5163323013029688)",30856,"(('s_1442[c]', 's_1324[e]', 's_0993[m]'), 0.5111654777457367)"
r_2332,2,0.3752433398110987,2740,87,"(('s_0376[m]',), 0.4436869121526472)",3741,"(('s_0955[c]', 's_1056[c]'), 0.6279395756200004)",105995,"(('s_0725[c]', 's_1266[c]', 's_0529[c]'), 0.6710216497543943)"
r_2336,2,-0.014984709478098778,2740,88,"(('s_0796[e]',), -0.026635475290948653)",3828,"(('s_1003[c]', 's_0419[c]'), 0.6161025157661298)",109736,"(('s_0955[c]', 's_1487[c]', 's_0419[c]'), 0.6273157391971587)"
r_1126_b,2,-216.09398934900773,2740,97,"(('s_1324[e]',), -26.226828458726608)",4656,"(('s_1032[c]', 's_0837[c]'), 0.1948796540939331)",147440,"(('s_0557[c]', 's_1032[c]', 's_0837[c]'), 0.18181798067234672)"
r_1254_b,2,-6990.671220935049,2740,222,"(('s_1042[m]',), -4.456513233742431)",24531,"(('s_0421[m]', 's_1488[m]'), -4.456544786536707)",1798940,"(('s_0421[m]', 's_1488[m]', 's_0307[m]'), -4.4565447865366465)"
r_0029,2,-2.6313652550046305,2740,62,"(('s_0767[c]',), -1.476148115203619)",1891,"(('s_0725[c]', 's_0767[c]'), -0.4520678623871716)",37820,"(('s_0767[c]', 's_0955[c]', 's_0629[c]'), 0.15857003133560466)"
r_0663_b,2,-2.1790636661179046,2740,67,"(('s_0767[c]',), -0.22692418973866674)",2211,"(('s_0767[c]', 's_0837[c]'), 0.3946275790505294)",47905,"(('s_0767[c]', 's_0260[c]', 's_1324[e]'), 0.497908341216835)"
r_0699_b,2,-2.4759346506013165,2740,62,"(('s_0767[c]',), -0.8096813186644356)",1891,"(('s_1616[c]', 's_0767[c]'), 0.19806902757574432)",37820,"(('s_0767[c]', 's_0568[c]', 's_0529[c]'), 0.36932250641772546)"
r_0718,2,-6.551348187528609,2740,86,"(('s_1233[c]',), -2.1870028333183664)",3655,"(('s_0551[c]', 's_1233[c]'), -0.5930611438452591)",102340,"(('s_0955[c]', 's_0551[c]', 's_0441[c]'), 0.38343888394269043)"
r_1112_b,2,-10.752804321791459,2740,53,"(('s_1377[c]',), -0.3201502609145703)",1378,"(('s_1210[m]', 's_1324[e]'), 0.6435505246686122)",23426,"(('s_1182[m]', 's_1324[e]', 's_0993[m]'), 0.7992447951759435)"
