g/gCDW	DiBartolomeo2020_GlucR1	DiBartolomeo2020_GlucR2	DiBartolomeo2020_GlucR3	DiBartolomeo2020_EtohR1	DiBartolomeo2020_EtohR2	DiBartolomeo2020_EtohR3
YMR183C	3.67006506066276E-05	3.839780968296E-05	3.30900810532758E-05	2.61859348534329E-05	3.27306667043988E-05	2.39346095860717E-05
YGR156W	0.0000062932669308	6.14916255072E-06	5.840175640554E-06	4.713489429768E-06	5.013715750776E-06	5.825685439974E-06
YIL147C	1.59951669099264E-07	1.7701956421632E-07	1.5651424345536E-07	3.46668858982656E-07	3.37424134247424E-07	3.2063999542848E-07
YLR025W	6.727445546706E-06	7.29793247904E-06	6.190187146011E-06	5.874887211183E-06	6.767838565416E-06	5.916452174343E-06
YLR250W	1.6722607156164E-05	1.757710006416E-05	1.5237125873424E-05	3.2032263333798E-05	3.1631501813184E-05	2.9432949079716E-05
YGR162W	0.00026414160966508	0.000285742007992	0.00024266801693223	0.00024157678154103	0.0002554400178234	0.00024296305464911
YGL049C	9.5570051825136E-06	1.1015849951904E-05	9.3344542162344E-06	9.7426052807184E-06	1.20193270384896E-05	9.987452173314E-06
YGL189C	0.00010084704230052	0.0001066648520952	9.264644343144E-05	7.199201725407E-05	7.927479180216E-05	7.005600113112E-05
YER125W	3.66523064567424E-05	3.9538848577536E-05	3.363223708512E-05	3.90856047665472E-05	4.27090753237248E-05	3.68514789328512E-05
YER144C	4.026255487964E-07	5.15020706536E-07	3.8855159120142E-07	7.4952649692288E-07	7.4040967075128E-07	7.858749858296E-07
YER101C	3.1594646782608E-07	3.17434191984E-07	2.988475846902E-07	1.02902379475896E-06	1.06383415333104E-06	9.8247274674276E-07
YER154W	5.616326505216E-06	6.535401320448E-06	5.19045359616E-06	1.15318657939968E-05	1.17823296632832E-05	1.11067137812736E-05
YEL006W	6.1209334775808E-07	6.370325692416E-07	5.6337858035712E-07	1.5836289564672E-06	1.61677194559488E-06	1.60210847268864E-06
YER043C	0.0023232562866168	0.002473428746208	0.0020892324420882	0.0022374705589632	0.0023331019329216	0.0022472476863162
YER047C	8.2852737321662E-07	8.71483253872E-07	7.5636082075554E-07	1.2300658060383E-06	1.26662015429796E-06	1.20717254662312E-06
YER169W	3.70867859216096E-07	3.4686170342208E-07	3.32299579430016E-07	3.65026436214264E-07	3.38552528505312E-07	3.48561881961084E-07
YER136W	5.2303626991616E-05	5.234673934336E-05	4.6767861955584E-05	7.128140608512E-05	7.6888197230592E-05	7.2102130163712E-05
YER155C	7.11833862064512E-06	7.5138702256464E-06	6.62944110363513E-06	1.02932025340399E-05	9.93957697972404E-06	9.35875527263259E-06
YER123W	1.21168806077816E-06	1.3513223699696E-06	1.14059210746572E-06	2.5351746614208E-06	2.57085840095448E-06	2.5450722131324E-06
YER087W	2.6378699786516E-06	2.686451968816E-06	2.4475264088814E-06	5.1902896507308E-06	5.6912778164088E-06	5.551802362722E-06
YER089C	3.6869769859104E-05	0.00003850489188	3.46046135093568E-05	1.68120530414928E-05	2.03709423258432E-05	1.62070547505048E-05
YEL013W	5.4208126469056E-05	5.665313667328E-05	5.0446873615392E-05	6.7030315381728E-05	6.9925508936448E-05	6.6158988410816E-05
YER114C	3.70040709446016E-06	3.93624690928E-06	3.48980592053736E-06	3.30422204839968E-06	3.49646404030944E-06	3.24942566285408E-06
YEL071W	0.00073818213294144	0.0007661729556096	0.00065154277793088	0.00021284111444112	0.00024577826809536	0.00022338401122752
YEL066W	1.106760824832E-05	1.134889426944E-05	1.0195067870208E-05	3.1852984071168E-05	3.1271918026752E-05	3.0799379659776E-05
YEL056W	4.378344999534E-06	5.12238081348E-06	4.1527663881615E-06	2.398432334778E-06	2.552665020138E-06	2.157968520081E-06
YEL055C	2.5333883800362E-05	2.663217188856E-05	2.3262862881321E-05	2.6850572661213E-05	2.77035170379624E-05	2.7662684272146E-05
YEL031W	8.8901398825408E-05	9.877681131136E-05	8.10525670823232E-05	6.84680519498976E-05	7.033934392992E-05	6.84761056403008E-05
YEL029C	1.993763490036E-06	2.02102229028E-06	1.942673401413E-06	2.7759821831325E-06	3.009113475456E-06	3.0089185777225E-06
YEL026W	5.750381013696E-05	0.0000587321366016	5.073379372512E-05	2.9870197657344E-05	3.429359501568E-05	3.1939865534016E-05
YEL022W	1.40591420895744E-05	1.4577261979392E-05	1.28545280316864E-05	1.45674958306752E-05	1.48510078622208E-05	1.47178064052864E-05
YEL020C	2.14537855842288E-06	2.2321429176816E-06	2.01385841905314E-06	3.92290185165912E-06	4.3412516817912E-06	4.00026589596513E-06
