copy/pgCDW	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38
YDR044W	573.4617677	470.3560605	462.1330186	455.6541777	712.9273618	692.0106052	792.0231998	579.2106992	523.3540246	465.5766979
YDR047W	1445.885349	1234.46131	1074.607925	909.9885038	1457.706347	1449.083546	1316.230947	1183.59725	932.0740715	413.2243411
YDR049W	0	0	0	0	0	0	0	0	0	0
YDR050C	155454.6929	138140.5306	144145.6716	137259.8837	173067.2153	168556.5035	175242.0413	177385.2011	177619.7391	213089.1986
YDR051C	64.82063053	97.78786727	82.688195	97.25960997	65.53671674	73.79753748	80.11389525	89.83539883	98.7983805	75.53710171
YDR055W	505.0661273	207.6427907	104.5957606	151.4687421	570.4962311	340.5582633	227.8699498	192.1695352	283.7039709	249.1202916
YDR060W	114.8105544	73.62967592	83.46746954	107.8577099	128.2651834	122.9164112	136.4158872	112.6908225	107.2202167	152.3402163
YDR061W	426.8112309	464.6138032	736.4897915	883.8534329	411.9561305	376.8646417	372.8167346	467.1200077	536.7506487	741.3126604
YDR062W	190.5151189	179.082322	141.6717321	172.3869262	191.3279055	168.0652891	189.252971	181.6957971	214.7016777	170.8414322
YDR064W	43291.33846	41161.42658	40665.51458	41463.26709	46401.16452	50398.02237	47759.74174	51673.5879	48366.30819	44736.41255
YDR068W	361.5518706	332.5062948	431.5609575	248.4477478	346.775222	357.8217187	324.7412658	402.6954142	433.5287451	292.467903
YDR071C	12356.78094	11584.00685	10873.75122	10176.35474	12528.27389	13118.12367	13431.41426	12609.74712	12952.59258	9126.000261
YDR074W	266.0839843	221.7778138	143.4021396	258.8452881	290.2123859	324.775832	319.6043315	284.5280222	319.1998236	270.5682989
YDR079C-A	0	0	0	0	0	0	0	0	0	0
YDR079W	0	0	0	0	0	0	0	0	0	0
YDR080W	56.71394075	0	0	61.39299593	0	0	0	28.14344139	0	34.19354056
YDR084C	0	0	0	0	0	0	0	0	0	0
