fmol/mgCDW	Yu2020_ClimR1	Yu2020_ClimR2	Yu2020_CN30R1	Yu2020_CN30R2	Yu2020_CN50R1	Yu2020_CN50R2	Yu2020_CN115R1	Yu2020_CN115R2
YGL205W	1760.05311327633	2047.7758730241	212.65897012218	198.414120728826	59.4745523174489	86.186042360883	54.9792552273616	76.7945064044897
YMR267W	63.902027775467	71.0304764729581	56.5533657892532	86.821852373045	53.4038481261233	47.0229767804057	81.255727683383	49.4988883509083
YHR075C	23.9660221535926	23.6962962704928	24.7404500796322	25.6812437552937	13.2744715927389	14.4282474432183	14.8448962385655	18.4246202331015
YDL188C	76.4060141655939	90.3634743331179	86.6000284802025	102.910305109628	66.6936068264785	87.7261550413503	52.4794358793066	101.329449411027
YDR075W	26.8919341982747	31.8840961617436	29.2447293077943	32.0977524762295	19.049999291591	18.1743395572213	12.4612408448728	23.8234762902331
YDR435C	140.189017449129	105.692634765947	71.702391520877	64.8150609704635	28.863380686174	32.3090673891805	41.0422875574872	39.9468041047316
YDR452W	18.5819831607908	16.9403417913224	20.6075778070497	28.5321857642705	23.1245179568729	17.800261587746	44.3923494299853	25.849009224581
YBR276C	12.7149552078938	14.9701964347362	12.4138025752919	13.283225296381	7.52646856148043	8.79917878599054	6.29738791264051	10.9656938280134
YGR123C	270.72674077557	324.947163193848	161.704834236468	168.864714727071	95.1849996487436	88.6241855894971	84.1191842017884	119.754361704127
YHR201C	408.540096768676	443.35369010441	407.958642130302	398.677984094218	236.740313867553	232.012073577335	229.965674254073	302.53661182371
YML016C	52.3877436791069	57.7292551463942	33.8911315729185	29.4714614763702	16.7505134093953	15.7867070423649	16.2433849431829	20.1540751766235
YEL060C	2631.85129089566	1646.99297644923	1219.2496085898	926.01002689496	714.636836765412	616.688504171505	1037.40044052444	696.351427034809
YMR297W	771.682228882251	865.855132464758	691.375131256239	640.991262242567	309.95721890741	506.6753571412	231.523098673393	550.725298459956
YCL057W	208.617188936304	239.199177643115	248.262299534433	273.090356132991	163.56866461661	184.169271996551	148.845904999936	213.621209172191
YER012W	754.848272856093	2405.31346686999	2337.82072330199	4477.1045521802	1488.83661157319	5241.14927635679	2508.64998143219	5580.58999889039
YOR362C	684.189893788174	760.857833571971	734.314249318306	798.322004823115	542.966402064418	804.483242147473	884.214129740704	892.466417973425
YPR103W	827.646152403426	921.182642627806	775.09818769203	816.747355171937	550.953857740677	518.147957459305	639.749164718746	673.391638795189
YJL001W	6117.78051742982	10085.1684724494	7008.0929135635	8991.36486933935	3648.67933387987	7054.36184184659	5072.8985506447	8648.37629649461
YFR050C	347.606765501465	295.880733609273	381.77905428726	522.165298324092	514.55086843249	399.063600377288	846.708522046449	533.524013988837
YMR314W	1589.91040529292	1732.05549103286	2578.44137015613	2557.12128551339	2148.79064677009	1959.76285600971	2932.71995551677	2888.20018179175
YOL038W	1832.64956062372	2802.45518793274	2850.49228511603	3603.12745018346	1476.52392211583	3657.70556964799	3197.28578108588	4023.93037610802
YBL041W	2823.52267501697	2816.76132190963	2434.62710776062	2438.2921402861	1699.8168092285	1718.96918922839	3033.50950720534	2187.7314448886
YML092C	321.46756521256	314.367384679336	432.349214562872	566.084802827838	549.910099850262	390.226816147638	1001.07330275681	531.368049166041
YGR135W	1428.00363365041	1920.61522828483	1441.83882343919	1333.23473578822	752.088800733676	898.698315582402	654.83695412275	1146.64657443504
YIR008C	122.132342108059	103.591053015866	84.4570039219127	70.7191814738796	37.8991838638423	40.0752135593739	63.0861330459881	50.0321844114209
YKL045W	94.1691889184859	103.953560673814	74.8064336223558	71.383333791607	40.4996097528425	38.9595570021194	36.0510855345698	51.7883113858096
YIL095W	0.542624925803965	0.433393483587604	0.520568889130371	0.497507407958215	0.330209140580296	0.329052157796066	0.602104905613621	0.404177864258581
YMR278W	49.3143554522785	58.7073036696087	43.4703055726877	42.6576132051836	22.0417029288413	25.3944721381845	15.9525703422577	31.8423352894672
YPL156C	112.699000785472	107.853836556499	30.7851524497451	32.4403510895919	13.9460351280046	15.5883060722537	20.1338652857106	17.6772629196514
YDR300C	186.445700958811	201.369725147168	118.788127135053	132.160519367498	86.5168576796074	80.7613732141805	72.8432348295143	107.0674203674
YOR323C	372.612343467141	455.037300687222	418.419231373383	529.360626042555	284.88996437937	371.376191250359	304.689307284958	459.829023920774
YER023W	511.216853022998	750.005379261687	1089.31009034988	2291.1575429571	1330.6153982943	1808.65770091094	1087.19652543151	2272.93303035908
YDL043C	4.85363785280178	6.08283800969135	5.60066226804953	7.01188358616705	4.56946880103505	4.36192879135453	8.85261177262875	5.96716947927644
YGR006W	11.4644548068347	18.0895261821941	12.1046680113399	13.474468854318	6.28394584358058	8.04616213204108	3.18593570496475	10.3010141089833
YLL036C	102.52154380205	118.430217681078	85.5489036960824	85.4070775747068	51.5007229564401	50.380711083061	48.9777678112579	63.3665414263954
YNR011C	4.00525757256309	4.05311497133111	3.00248867424605	3.41077683313523	2.00486924158725	1.98759823621113	1.83761905404174	2.44874999773081
YER013W	7.13118026121811	9.77398810752308	8.10730982378641	9.8093716385301	6.23433985561354	5.48413646979719	7.49390030857624	7.67260527227858
YDR243C	16.9882127347527	17.0567056257942	14.6295107523624	14.5199660323954	10.3160831276281	9.99425435113204	12.2226442177461	12.8133075915799
YDR473C	5.28357969254102	3.63443799146321	3.14530463103761	2.61158921370296	1.53660015352585	1.44532776807654	3.03632706648127	1.80106633638021
YGR091W	60.9803388427086	54.6876330641223	34.1343261546827	30.0420267748486	18.5772607718169	18.3903179656987	28.7506189356754	23.9006522090974
YML046W	24.8017216907259	24.4427281518758	23.2439403685925	22.4853328964874	14.8545325284049	13.3820972477074	15.1470857944916	17.2828974896666
YPR178W	37.1707013851382	25.6689771082285	29.5052349147888	29.8940046644942	12.0963289955367	22.6437136516367	10.2202663280377	23.8939648549428
YKL012W	10.6517471142429	10.3230212887158	9.22048004592102	11.17498497633	6.22041849820041	7.04514759825344	7.18789940623376	8.83489053002433
YDR235W	95.1313478940986	92.12315161071	63.5649052885276	60.0862840620807	34.1318044450667	32.4791474096244	33.2087012116795	43.6035257565834
YGL120C	332.872853799147	354.221486832629	242.883061974027	255.569758372539	140.514913686384	135.030157221328	103.040954553499	177.081614528352
YAL032C	14.9961500819864	14.4266343974838	13.534849940339	13.7569555759121	9.23722648242347	7.67210894843266	14.0619397211068	10.2155437044641
YBR237W	100.541773859459	84.8209563405671	66.9111586353755	61.3863300006669	33.4188924989229	55.289245927876	53.8524191945654	64.1555218026123
YBR055C	44.2624336820169	50.2294303655136	31.9898092054156	31.2552940417579	17.4092711314768	18.1492563216736	13.3936881823488	23.0568182650955
YHR165C	30.3660146605065	32.2230842469184	22.8548282160757	23.2267859612338	12.6978678519481	12.9483365018601	12.6664694878051	16.1630775103573
YDL030W	5.99136664867164	5.08349167757833	4.97351314787644	5.05554687044833	3.75224863153437	3.17988122324802	4.78520421958706	4.75822771276491
YKL116C	19.1904044350141	23.0533449083821	21.5492131795058	21.9258699780175	14.3960612946776	13.2972247979363	16.5806628039338	17.096431883061
YKL181W	471.643291512228	536.968391959652	449.498678862984	580.026744153362	366.406813407023	389.455546764674	506.028429611957	502.310431470719
YER099C	160.949557731256	165.856372886718	122.510029385158	119.897275744709	58.632929072387	68.9673440593207	38.6388112683626	77.7438201484281
YHL011C	516.909826087247	767.522840922888	640.169156987055	853.4032426802	491.861094985811	551.642240849548	441.871378915465	695.534956128279
YOL061W	145.15167286321	168.631948302553	156.766321313465	185.288895836446	114.260518603809	143.421420046364	146.412852110369	173.471143366326
