cid,metName
449538,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
1028,Prephenate
25244684,L-Glutamate 1-semialdehyde
49859597,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)"
1051,Pyridoxal 5'-phosphate
168989,"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
1055,Pyridoxine 5'-phosphate
123938,Gamma-L-Glutamyl-L-cysteine
10329124,"2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"
121893,Protoporphyrinogen IX
1066,Quinolinate
439351,3-Dehydroquinate
25203768,KDO-lipid IV(A)
25203769,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
5280832,2-Octaprenylphenol
5280833,2-Octaprenyl-6-hydroxyphenol
171041857,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"
5280834,2-Octaprenyl-6-methoxyphenol
1099,Sulfite
1102,Spermidine
25201749,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
121947,Shikimate 5-phosphate
439398,L-Histidinol phosphate
49859691,"Cardiolipin (tetrahexadecanoyl, n-C16:0)"
49859692,"Cardiolipin (tetrahexadecanoyl, n-C16:0)"
1132,Thiamine diphosphate
1131,Thiamin monophosphate
439406,O-Succinyl-L-homoserine
3083382,KDO(2)-lipid IV(A)
439415,S-Adenosylmethioninamine
50986110,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
121992,Nicotinate D-ribonucleotide
160913,N1-(5-Phospho-D-ribosyl)glycinamide
5289105,(R)-Pantoate
1169,UDP-N-acetylmuramate
99478,O-Acetyl-L-serine
49859737,"Phosphatidylserine (dihexadecanoyl, n-C16:0)"
1179,Uroporphyrinogen III
135398561,5-Methyltetrahydrofolate
439462,5-Amino-6-(5'-phosphoribosylamino)uracil
439463,5-O-(1-Carboxyvinyl)-3-phosphoshikimate
1195,Isopentenyl diphosphate
135398581,Molybdopterin
135398583,Molybdopterin guanine dinucleotide
193735,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide
135398600,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate"
135398602,Dihydroneopterin
135398603,"7,8-Dihydrofolate"
135398609,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"
135398610,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"
135398611,6-hydroxymethyl-dihydropterin pyrophosphate
15942880,3-Deoxy-D-manno-octulosonate 8-phosphate
445675,UDP-N-acetyl-D-glucosamine
70914,N-Acetyl-L-glutamate
135398662,Dihydropteroate
25244942,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
445713,Farnesyl diphosphate
46173461,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
11988267,1-(5-Phosphoribosyl)-AMP
24892716,Adenosylcobalamin
6436143,Adenosylcobalamin
5431,Thiamine diphosphate
